"","X","Hasil_GeoHash","LATITUDE","LONGITUDE","Lat_Error","Long_Error","MAG","KEDALAMAN"
"16237",52,"qyu9vp",-6.68243408203125,130.303344726562,0.00274658203125,0.0054931640625,3.5,10
"16238",53,"qyu9vp",-6.68243408203125,130.303344726562,0.00274658203125,0.0054931640625,3.5,10
"16239",54,"wb3brm",1.48040771484375,126.535034179688,0.00274658203125,0.0054931640625,4,60
"16240",55,"qyu9vp",-6.68243408203125,130.303344726562,0.00274658203125,0.0054931640625,3.5,10
"16241",56,"qwtbkh",-8.36883544921875,120.767211914062,0.00274658203125,0.0054931640625,2.8,19
"16242",57,"qzbyx0",-0.26092529296875,125.117797851562,0.00274658203125,0.0054931640625,4,10
"16243",58,"qwtbkh",-8.36883544921875,120.767211914062,0.00274658203125,0.0054931640625,2.8,19
"16244",59,"qwtbkh",-8.36883544921875,120.767211914062,0.00274658203125,0.0054931640625,2.8,19
"16245",60,"qwtbkh",-8.36883544921875,120.767211914062,0.00274658203125,0.0054931640625,2.8,19
"16246",61,"qzbyx0",-0.26092529296875,125.117797851562,0.00274658203125,0.0054931640625,4,10
"16247",62,"qwtbkh",-8.36883544921875,120.767211914062,0.00274658203125,0.0054931640625,2.8,19
"16248",63,"qwtbkh",-8.36883544921875,120.767211914062,0.00274658203125,0.0054931640625,2.8,19
"16249",64,"qwtbkh",-8.36883544921875,120.767211914062,0.00274658203125,0.0054931640625,2.8,19
"16250",65,"wbe0vq",2.98004150390625,128.204956054688,0.00274658203125,0.0054931640625,4,150
"16251",66,"qyu9vp",-6.68243408203125,130.303344726562,0.00274658203125,0.0054931640625,3.5,10
"16252",67,"qysnye",-7.23175048828125,129.666137695312,0.00274658203125,0.0054931640625,3.5,10
"16253",68,"qzbyx0",-0.26092529296875,125.117797851562,0.00274658203125,0.0054931640625,4,10
"16254",69,"qwtbkh",-8.36883544921875,120.767211914062,0.00274658203125,0.0054931640625,2.8,19
"16255",1,"qzp5wx",-4.96856689453125,133.884887695312,0.00274658203125,0.0054931640625,4.5,30
"16256",2,"qzp5wx",-4.96856689453125,133.884887695312,0.00274658203125,0.0054931640625,4.5,30
"16257",3,"qzpz4u",-4.36981201171875,134.774780273438,0.00274658203125,0.0054931640625,4.5,30
"16258",4,"wc19j5",5.82000732421875,126.084594726562,0.00274658203125,0.0054931640625,4.6,112
"16259",5,"qzp5wx",-4.96856689453125,133.884887695312,0.00274658203125,0.0054931640625,4.5,30
"16260",6,"qzp5wx",-4.96856689453125,133.884887695312,0.00274658203125,0.0054931640625,4.5,30
"16261",7,"qwt0j7",-8.41827392578125,119.767456054688,0.00274658203125,0.0054931640625,2.8,200
"16262",8,"qpxmef",-1.83197021484375,100.365600585938,0.00274658203125,0.0054931640625,4.4,161
"16263",9,"qws1dp",-8.13262939453125,118.218383789062,0.00274658203125,0.0054931640625,2.8,10
"16264",10,"qysk56",-7.72064208984375,129.874877929688,0.00274658203125,0.0054931640625,3.6,150
"16265",11,"qyvrpj",-5.77056884765625,131.445922851562,0.00274658203125,0.0054931640625,4.5,35
"16266",12,"wc19j5",5.82000732421875,126.084594726562,0.00274658203125,0.0054931640625,4.6,112
"16267",13,"qws1dp",-8.13262939453125,118.218383789062,0.00274658203125,0.0054931640625,2.8,10
"16268",14,"qyvrpj",-5.77056884765625,131.445922851562,0.00274658203125,0.0054931640625,4.5,35
"16269",15,"qwt0j7",-8.41827392578125,119.767456054688,0.00274658203125,0.0054931640625,2.8,200
"16270",16,"qzp5wx",-4.96856689453125,133.884887695312,0.00274658203125,0.0054931640625,4.5,30
"16271",17,"qzp5wx",-4.96856689453125,133.884887695312,0.00274658203125,0.0054931640625,4.5,30
"16272",18,"rpdv79",-1.88140869140625,139.026489257812,0.00274658203125,0.0054931640625,4.5,29
"16273",19,"rpdv79",-1.88140869140625,139.026489257812,0.00274658203125,0.0054931640625,4.5,29
"16274",20,"qzp5wx",-4.96856689453125,133.884887695312,0.00274658203125,0.0054931640625,4.5,30
"16275",21,"qzp5wx",-4.96856689453125,133.884887695312,0.00274658203125,0.0054931640625,4.5,30
"16276",22,"qws1dp",-8.13262939453125,118.218383789062,0.00274658203125,0.0054931640625,2.8,10
"16277",23,"qyvrpj",-5.77056884765625,131.445922851562,0.00274658203125,0.0054931640625,4.5,35
"16278",24,"wc19j5",5.82000732421875,126.084594726562,0.00274658203125,0.0054931640625,4.6,112
"16279",25,"rpdv79",-1.88140869140625,139.026489257812,0.00274658203125,0.0054931640625,4.5,29
"16280",26,"qysk56",-7.72064208984375,129.874877929688,0.00274658203125,0.0054931640625,3.6,150
"16281",27,"qpxmef",-1.83197021484375,100.365600585938,0.00274658203125,0.0054931640625,4.4,161
"16282",28,"qwt0j7",-8.41827392578125,119.767456054688,0.00274658203125,0.0054931640625,2.8,200
"16283",29,"wc19j5",5.82000732421875,126.084594726562,0.00274658203125,0.0054931640625,4.6,112
"16284",30,"qwt0j7",-8.41827392578125,119.767456054688,0.00274658203125,0.0054931640625,2.8,200
"16285",31,"wc19j5",5.82000732421875,126.084594726562,0.00274658203125,0.0054931640625,4.6,112
"16286",32,"qysk56",-7.72064208984375,129.874877929688,0.00274658203125,0.0054931640625,3.6,150
"16287",33,"qws1dp",-8.13262939453125,118.218383789062,0.00274658203125,0.0054931640625,2.8,10
"16288",34,"qysk56",-7.72064208984375,129.874877929688,0.00274658203125,0.0054931640625,3.6,150
"16289",35,"qwt0j7",-8.41827392578125,119.767456054688,0.00274658203125,0.0054931640625,2.8,200
"16290",36,"qws1dp",-8.13262939453125,118.218383789062,0.00274658203125,0.0054931640625,2.8,10
"16291",37,"qzpz4u",-4.36981201171875,134.774780273438,0.00274658203125,0.0054931640625,4.5,30
"16292",38,"qyvrpj",-5.77056884765625,131.445922851562,0.00274658203125,0.0054931640625,4.5,35
"16293",39,"qyvrpj",-5.77056884765625,131.445922851562,0.00274658203125,0.0054931640625,4.5,35
"16294",40,"qyvrpj",-5.77056884765625,131.445922851562,0.00274658203125,0.0054931640625,4.5,35
"16295",41,"rpdv79",-1.88140869140625,139.026489257812,0.00274658203125,0.0054931640625,4.5,29
"16296",42,"qzp5wx",-4.96856689453125,133.884887695312,0.00274658203125,0.0054931640625,4.5,30
"16297",43,"qws1dp",-8.13262939453125,118.218383789062,0.00274658203125,0.0054931640625,2.8,10
"16298",44,"qysk56",-7.72064208984375,129.874877929688,0.00274658203125,0.0054931640625,3.6,150
"16299",45,"qzp5wx",-4.96856689453125,133.884887695312,0.00274658203125,0.0054931640625,4.5,30
"16300",46,"qzp5wx",-4.96856689453125,133.884887695312,0.00274658203125,0.0054931640625,4.5,30
"16301",47,"qysk56",-7.72064208984375,129.874877929688,0.00274658203125,0.0054931640625,3.6,150
"16302",48,"qyvrpj",-5.77056884765625,131.445922851562,0.00274658203125,0.0054931640625,4.5,35
"16303",49,"qyvrpj",-5.77056884765625,131.445922851562,0.00274658203125,0.0054931640625,4.5,35
"16304",50,"qysk56",-7.72064208984375,129.874877929688,0.00274658203125,0.0054931640625,3.6,150
"16305",51,"qzp5wx",-4.96856689453125,133.884887695312,0.00274658203125,0.0054931640625,4.5,30
"16306",52,"qyvrpj",-5.77056884765625,131.445922851562,0.00274658203125,0.0054931640625,4.5,35
"16307",53,"qws1dp",-8.13262939453125,118.218383789062,0.00274658203125,0.0054931640625,2.8,10
"16308",54,"qws1dp",-8.13262939453125,118.218383789062,0.00274658203125,0.0054931640625,2.8,10
"16309",55,"qysk56",-7.72064208984375,129.874877929688,0.00274658203125,0.0054931640625,3.6,150
